Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths
Plains Tornadoes and Central Severe Weather (May 2016),Severe Storm,20160508,20160511,1874.5,2
Rockies/Central Tornadoes and Severe Weather (May 2016),Severe Storm,20160521,20160526,1249.4,0
West Virginia Flooding and Ohio Valley Tornadoes (June 2016),Flooding,20160622,20160624,1056,23
Rockies and Northeast Severe Weather (July 2016),Severe Storm,20160728,20160730,1597.6,0
Louisiana Flooding (August 2016),Flooding,20160812,20160815,10900,13
Hurricane Matthew (October 2016),Tropical Cyclone,20161008,20161012,10900,49
West/Northeast/Southeast Drought (2016),Drought,20160101,20161231,3764.1,0
Western/Southeast Wildfires (Summer-Fall 2016),Wildfire,20160601,20161231,2610.8,21
Southern Tornado Outbreak and Western Storms (January 2017),Severe Storm,20170120,20170122,1182.5,24
California Flooding (February 2017),Flooding,20170208,20170222,1605,5
Central/Southeast Tornado Outbreak (March 2017),Severe Storm,20170228,20170301,1932.5,6
Midwest Tornado Outbreak (March 2017),Severe Storm,20170306,20170308,2328.5,2
Southeast Freeze (March 2017),Freeze,20170314,20170316,1070,0
South/Southeast Severe Weather (March 2017),Severe Storm,20170326,20170328,2883.7,0
Missouri and Arkansas Flooding and Central Severe Weather (May 2017),Flooding,20170425,20170507,1775.3,20
Colorado Hail Storm and Central Severe Weather (May 2017),Severe Storm,20170508,20170511,3584.5,0
Minnesota Hail Storm and Upper Midwest Severe Weather (June 2017),Severe Storm,20170609,20170611,2514.5,0
Midwest Severe Weather (June 2017),Severe Storm,20170612,20170616,1614.8,0
Midwest Severe Weather (June 2017),Severe Storm,20170627,20170629,1524.8,0
Hurricane Harvey (August 2017),Tropical Cyclone,20170825,20170831,131250,89
Hurricane Irma (September 2017),Tropical Cyclone,20170906,20170912,52500,97
Hurricane Maria (September 2017),Tropical Cyclone,20170919,20170921,94500,2981
"Western Wildfires, California Firestorm (Summer-Fall 2017)",Wildfire,20170601,20171231,18905.3,54
"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)",Drought,20170301,20171231,2625,0
